family	def1	def2	icd10_jaccard	source_jaccard	phecode_jaccard	mode_differs	conditions_differ	controls_differ	log_case_ratio	snomed_jaccard	snomed_hier_jaccard	snomed_n1	snomed_n2
Sleep	G6_SLEEPAPNO_INCLAVO	F5_SLEEP_NOS	0.0	0.6666666666666666	0.0	False	False	True	3.9163690321454094	0.0	0.06666666666666667	1	1
Sleep	F5_INSOMNIA	KRA_PSY_SLEEP_NONORG_EXMORE	0.1	1.0	0.1666666666666666	False	False	True	0.2071965276612578	0.18181818181818182	0.36	2	11
Sleep	F5_INSOMNIA	G6_SLEEPDISOTH	0.1111111111111111	1.0	0.1666666666666666	False	False	True	0.3819105863853647	0.09090909090909091	0.2413793103448276	2	10
Sleep	F5_INSOMNIA	F5_SLEEP_NOS	0.0	1.0	0.0	False	False	False	1.6910437262063127	0.0	0.4166666666666667	2	1
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	G6_SLEEPDISOTH	0.0	1.0	0.3333333333333333	False	False	True	0.5891071140466226	0.4	0.4444444444444444	11	10
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	F5_SLEEP_NOS	0.2222222222222222	1.0	0.1666666666666666	False	False	True	1.8982402538675704	0.09090909090909091	0.32	11	1
Sleep	G6_SLEEPDISOTH	F5_SLEEP_NOS	0.0	1.0	0.1666666666666666	False	False	True	1.309133139820948	0.1	0.2962962962962963	10	1
Bowel	K11_CONSTIPATION	K11_OTHFUNC	0.125	0.6666666666666666	0.1666666666666666	False	False	True	0.8161211235429875	0.07142857142857142	0.058823529411764705	1	14
Bowel	K11_CONSTIPATION	K11_IBS	0.0	0.6666666666666666	0.3333333333333333	False	False	True	1.3650420854602314	0.0	0.13333333333333333	1	4
Bowel	K11_CONSTIPATION	K11_FUNCDYSP	0.0	0.6666666666666666	0.0	False	False	True	1.450684049440064	0.0	0.0	1	2
Bowel	K11_CONSTIPATION	K11_REFLUX	0.0	0.6666666666666666	0.0	False	False	True	0.3661840646594518	0.0	0.0	1	6
Bowel	K11_OTHFUNC	K11_IBS	0.0	1.0	0.2857142857142857	False	False	False	0.5489209619172442	0.058823529411764705	0.2037037037037037	14	4
Bowel	K11_OTHFUNC	K11_FUNCDYSP	0.0	1.0	0.0	False	False	True	0.6345629258970766	0.0	0.125	14	2
Bowel	K11_OTHFUNC	K11_REFLUX	0.0	1.0	0.0	False	False	True	0.4499370588835356	0.0	0.0684931506849315	14	6
Bowel	K11_IBS	K11_FUNCDYSP	0.0	1.0	0.0	False	False	True	0.0856419639798325	0.0	0.0	4	2
Bowel	K11_IBS	K11_REFLUX	0.0	1.0	0.0	False	False	True	0.99885802080078	0.0	0.0	4	6
Bowel	K11_FUNCDYSP	K11_REFLUX	0.0	1.0	0.0	False	False	False	1.0844999847806125	0.0	0.14705882352941177	2	6
Bladder	N14_NEUROMUSCDYSBLADD	N14_OTHBLADD	0.0	1.0	0.0	False	False	False	0.2804021166333543	0.2777777777777778	0.29310344827586204	9	14
ADHD	F5_ADHD	KRA_PSY_HYPERKIN_EXMORE	0.2	1.0	1.0	False	False	True	0.0620505905283163	0.5	0.8	2	4
Intellectual disability	F5_MILDRET	KRA_PSY_MENTALRET_EXMORE	0.1666666666666666	1.0	0.2	False	False	True	0.4479942973348988	0.14285714285714285	0.35294117647058826	1	7
Autism	KRA_PSY_DEVWIDE_EXMORE	KRA_PSY_AUTISM_EXMORE	0.2222222222222222	1.0	0.5	False	False	False	0.2834501575452008	0.36363636363636365	0.25	11	4
